timestamp,src_ip,dst_ip,protocol,packet_size,duration,tcp_flags,byte_rate,connection_state,label
2026-04-03T15:11:09,10.0.0.12,10.0.0.1,tcp,1240,0.82,18,1512.20,established,normal
2026-04-03T15:12:18,10.0.0.15,10.0.0.4,udp,420,0.15,0,2800.00,closed,normal
2026-04-03T15:13:05,10.0.0.21,10.0.0.8,icmp,84,0.04,0,2100.00,closed,normal
2026-04-03T15:13:39,10.0.1.10,10.0.0.9,http,860,1.25,2,688.00,syn_recv,normal
2026-04-03T15:14:20,10.0.1.11,10.0.0.2,https,1492,0.95,16,1571.58,established,normal
2026-04-03T15:15:07,172.16.0.5,10.0.0.20,dns,128,0.06,0,2133.33,closed,normal
2026-04-03T15:15:58,172.16.0.8,10.0.0.23,ftp,2048,2.40,24,853.33,fin_wait,normal
2026-04-03T15:16:22,192.168.1.10,10.0.0.30,ssh,1500,0.30,2,5000.00,syn_sent,anomaly
2026-04-03T15:17:04,192.168.1.11,10.0.0.31,tcp,65535,0.01,63,6553500.00,established,anomaly
2026-04-03T15:17:50,192.168.1.12,10.0.0.32,udp,12,8.50,0,1.41,close_wait,anomaly
2026-04-03T15:18:31,192.168.1.13,10.0.0.33,smtp,4096,0.12,4,34133.33,fin_wait,anomaly
2026-04-03T15:19:12,192.168.1.14,10.0.0.34,other,9999,12.75,31,784.24,unknown,anomaly
