timestamp,src_ip,dst_ip,protocol,packet_size,duration,tcp_flags,byte_rate,connection_state,label
2026-04-03T08:00:00,0.0.0.0,0.0.0.0,tcp,118,13,SF,118,10,anomaly
2026-04-03T08:00:30,0.0.0.0,0.0.0.0,udp,44,0,SF,44,254,anomaly
2026-04-03T08:01:00,0.0.0.0,0.0.0.0,tcp,0,0,S3,0,79,anomaly
2026-04-03T08:01:30,0.0.0.0,0.0.0.0,udp,53,0,SF,53,255,normal
2026-04-03T08:02:00,0.0.0.0,0.0.0.0,tcp,0,0,SH,0,1,anomaly
2026-04-03T08:02:30,0.0.0.0,0.0.0.0,tcp,54540,0,SF,54540,229,anomaly
2026-04-03T08:03:00,0.0.0.0,0.0.0.0,tcp,0,0,REJ,0,9,anomaly
2026-04-03T08:03:30,0.0.0.0,0.0.0.0,tcp,0,7570,SF,0,165,anomaly
2026-04-03T08:04:00,0.0.0.0,0.0.0.0,udp,56,0,SF,56,255,normal
2026-04-03T08:04:30,0.0.0.0,0.0.0.0,tcp,192,0,SF,192,51,normal
2026-04-03T08:05:00,0.0.0.0,0.0.0.0,tcp,0,0,REJ,0,1,anomaly
2026-04-03T08:05:30,0.0.0.0,0.0.0.0,tcp,0,0,REJ,0,1,anomaly
2026-04-03T08:06:00,0.0.0.0,0.0.0.0,tcp,21,0,SF,21,40,anomaly
2026-04-03T08:06:30,0.0.0.0,0.0.0.0,udp,45,0,SF,45,254,anomaly
2026-04-03T08:07:00,0.0.0.0,0.0.0.0,tcp,0,0,S3,0,115,anomaly
2026-04-03T08:07:30,0.0.0.0,0.0.0.0,tcp,0,0,REJ,0,59,anomaly
2026-04-03T08:08:00,0.0.0.0,0.0.0.0,tcp,0,0,S0,0,255,anomaly
2026-04-03T08:08:30,0.0.0.0,0.0.0.0,tcp,0,0,S0,0,15,anomaly
2026-04-03T08:09:00,0.0.0.0,0.0.0.0,tcp,0,0,S3,0,146,anomaly
2026-04-03T08:09:30,0.0.0.0,0.0.0.0,udp,1,0,SF,1,1,anomaly
2026-04-03T08:10:00,0.0.0.0,0.0.0.0,tcp,0,0,S3,0,158,anomaly
2026-04-03T08:10:30,0.0.0.0,0.0.0.0,udp,1,0,SF,1,1,anomaly
2026-04-03T08:11:00,0.0.0.0,0.0.0.0,tcp,240,0,SF,240,11,anomaly
2026-04-03T08:11:30,0.0.0.0,0.0.0.0,tcp,27,10,SF,27,214,anomaly
2026-04-03T08:12:00,0.0.0.0,0.0.0.0,tcp,0,0,S0,0,255,anomaly
2026-04-03T08:12:30,0.0.0.0,0.0.0.0,udp,42,0,SF,42,252,anomaly
2026-04-03T08:13:00,0.0.0.0,0.0.0.0,tcp,54540,0,SF,54540,255,anomaly
2026-04-03T08:13:30,0.0.0.0,0.0.0.0,tcp,156,282,SF,156,46,anomaly
2026-04-03T08:14:00,0.0.0.0,0.0.0.0,udp,43,0,SF,43,239,normal
2026-04-03T08:14:30,0.0.0.0,0.0.0.0,tcp,0,0,REJ,0,6,anomaly
2026-04-03T08:15:00,0.0.0.0,0.0.0.0,icmp,8,0,SF,8,48,anomaly
2026-04-03T08:15:30,0.0.0.0,0.0.0.0,tcp,32,5,SF,32,16,anomaly
2026-04-03T08:16:00,0.0.0.0,0.0.0.0,udp,44,0,SF,44,255,normal
2026-04-03T08:16:30,0.0.0.0,0.0.0.0,udp,105,0,SF,105,137,normal
2026-04-03T08:17:00,0.0.0.0,0.0.0.0,icmp,1032,0,SF,1032,255,anomaly
2026-04-03T08:17:30,0.0.0.0,0.0.0.0,tcp,16787,0,SF,16787,19,normal
2026-04-03T08:18:00,0.0.0.0,0.0.0.0,tcp,0,0,S0,0,63,anomaly
2026-04-03T08:18:30,0.0.0.0,0.0.0.0,tcp,0,7951,SF,0,112,anomaly
2026-04-03T08:19:00,0.0.0.0,0.0.0.0,tcp,0,0,REJ,0,5,anomaly
2026-04-03T08:19:30,0.0.0.0,0.0.0.0,tcp,0,0,S0,0,17,anomaly
2026-04-03T08:20:00,0.0.0.0,0.0.0.0,tcp,0,0,SF,0,192,normal
2026-04-03T08:20:30,0.0.0.0,0.0.0.0,tcp,54540,0,SF,54540,255,anomaly
2026-04-03T08:21:00,0.0.0.0,0.0.0.0,icmp,520,0,SF,520,255,anomaly
2026-04-03T08:21:30,0.0.0.0,0.0.0.0,udp,45,0,SF,45,254,normal
2026-04-03T08:22:00,0.0.0.0,0.0.0.0,tcp,0,0,REJ,0,13,anomaly
2026-04-03T08:22:30,0.0.0.0,0.0.0.0,tcp,0,0,S0,0,8,anomaly
2026-04-03T08:23:00,0.0.0.0,0.0.0.0,tcp,0,0,REJ,0,17,anomaly
2026-04-03T08:23:30,0.0.0.0,0.0.0.0,udp,44,0,SF,44,254,anomaly
2026-04-03T08:24:00,0.0.0.0,0.0.0.0,tcp,0,0,S0,0,86,anomaly
2026-04-03T08:24:30,0.0.0.0,0.0.0.0,tcp,0,0,REJ,0,1,anomaly
2026-04-03T08:25:00,0.0.0.0,0.0.0.0,icmp,1032,0,SF,1032,255,anomaly
2026-04-03T08:25:30,0.0.0.0,0.0.0.0,tcp,30,4,SF,30,232,anomaly
2026-04-03T08:26:00,0.0.0.0,0.0.0.0,udp,1,0,SF,1,1,anomaly
2026-04-03T08:26:30,0.0.0.0,0.0.0.0,tcp,54540,0,SF,54540,238,anomaly
2026-04-03T08:27:00,0.0.0.0,0.0.0.0,tcp,2194619,3,SF,2194619,125,normal
2026-04-03T08:27:30,0.0.0.0,0.0.0.0,tcp,0,0,RSTO,0,51,anomaly
2026-04-03T08:28:00,0.0.0.0,0.0.0.0,icmp,1008,0,SF,1008,255,anomaly
2026-04-03T08:28:30,0.0.0.0,0.0.0.0,icmp,1008,0,SF,1008,255,anomaly
2026-04-03T08:29:00,0.0.0.0,0.0.0.0,tcp,124,0,SF,124,34,anomaly
2026-04-03T08:29:30,0.0.0.0,0.0.0.0,tcp,35,2,SF,35,4,normal
2026-04-03T08:30:00,0.0.0.0,0.0.0.0,udp,43,0,SF,43,253,anomaly
2026-04-03T08:30:30,0.0.0.0,0.0.0.0,icmp,20,0,SF,20,70,anomaly
2026-04-03T08:31:00,0.0.0.0,0.0.0.0,tcp,54540,0,SF,54540,255,anomaly
2026-04-03T08:31:30,0.0.0.0,0.0.0.0,udp,45,0,SF,45,233,normal
2026-04-03T08:32:00,0.0.0.0,0.0.0.0,tcp,7,0,SF,7,12,normal
2026-04-03T08:32:30,0.0.0.0,0.0.0.0,tcp,0,0,S0,0,99,anomaly
2026-04-03T08:33:00,0.0.0.0,0.0.0.0,udp,52,0,SF,52,255,normal
2026-04-03T08:33:30,0.0.0.0,0.0.0.0,tcp,0,0,REJ,0,1,anomaly
2026-04-03T08:34:00,0.0.0.0,0.0.0.0,tcp,0,0,RSTO,0,88,anomaly
2026-04-03T08:34:30,0.0.0.0,0.0.0.0,tcp,2599,1,SF,2599,66,anomaly
2026-04-03T08:35:00,0.0.0.0,0.0.0.0,tcp,156,281,SF,156,3,anomaly
2026-04-03T08:35:30,0.0.0.0,0.0.0.0,tcp,120,0,SF,120,255,anomaly
2026-04-03T08:36:00,0.0.0.0,0.0.0.0,icmp,1008,0,SF,1008,255,anomaly
2026-04-03T08:36:30,0.0.0.0,0.0.0.0,udp,45,0,SF,45,254,normal
2026-04-03T08:37:00,0.0.0.0,0.0.0.0,tcp,0,0,REJ,0,18,anomaly
2026-04-03T08:37:30,0.0.0.0,0.0.0.0,tcp,0,0,RSTO,0,8,anomaly
2026-04-03T08:38:00,0.0.0.0,0.0.0.0,tcp,0,0,REJ,0,44,anomaly
2026-04-03T08:38:30,0.0.0.0,0.0.0.0,tcp,0,0,REJ,0,1,anomaly
2026-04-03T08:39:00,0.0.0.0,0.0.0.0,tcp,0,0,S0,0,6,anomaly
2026-04-03T08:39:30,0.0.0.0,0.0.0.0,icmp,1032,0,SF,1032,255,anomaly
2026-04-03T08:40:00,0.0.0.0,0.0.0.0,tcp,37960,0,RSTR,37960,255,anomaly
2026-04-03T08:40:30,0.0.0.0,0.0.0.0,udp,1,0,SF,1,21,normal
2026-04-03T08:41:00,0.0.0.0,0.0.0.0,tcp,283618,280,SF,283618,28,anomaly
2026-04-03T08:41:30,0.0.0.0,0.0.0.0,tcp,54540,0,SF,54540,255,anomaly
2026-04-03T08:42:00,0.0.0.0,0.0.0.0,tcp,229,0,SF,229,177,normal
2026-04-03T08:42:30,0.0.0.0,0.0.0.0,udp,56,0,SF,56,255,normal
2026-04-03T08:43:00,0.0.0.0,0.0.0.0,tcp,240,0,SF,240,28,anomaly
2026-04-03T08:43:30,0.0.0.0,0.0.0.0,tcp,0,0,RSTO,0,60,anomaly
2026-04-03T08:44:00,0.0.0.0,0.0.0.0,udp,28,0,SF,28,44,anomaly
2026-04-03T08:44:30,0.0.0.0,0.0.0.0,tcp,0,0,REJ,0,1,anomaly
2026-04-03T08:45:00,0.0.0.0,0.0.0.0,tcp,32,4,SF,32,136,anomaly
2026-04-03T08:45:30,0.0.0.0,0.0.0.0,tcp,0,7518,SF,0,188,anomaly
2026-04-03T08:46:00,0.0.0.0,0.0.0.0,tcp,0,0,S3,0,114,anomaly
2026-04-03T08:46:30,0.0.0.0,0.0.0.0,tcp,30,5,SF,30,255,anomaly
2026-04-03T08:47:00,0.0.0.0,0.0.0.0,tcp,0,0,REJ,0,11,anomaly
2026-04-03T08:47:30,0.0.0.0,0.0.0.0,tcp,335,0,SF,335,225,normal
2026-04-03T08:48:00,0.0.0.0,0.0.0.0,tcp,30,4,SF,30,232,anomaly
2026-04-03T08:48:30,0.0.0.0,0.0.0.0,tcp,54540,0,SF,54540,254,anomaly
2026-04-03T08:49:00,0.0.0.0,0.0.0.0,tcp,0,0,RSTO,0,1,anomaly
2026-04-03T08:49:30,0.0.0.0,0.0.0.0,udp,28,0,SF,28,71,normal
2026-04-03T08:50:00,0.0.0.0,0.0.0.0,tcp,0,0,REJ,0,1,anomaly
2026-04-03T08:50:30,0.0.0.0,0.0.0.0,tcp,0,0,REJ,0,8,anomaly
2026-04-03T08:51:00,0.0.0.0,0.0.0.0,tcp,164,283,SF,164,60,anomaly
2026-04-03T08:51:30,0.0.0.0,0.0.0.0,tcp,12,0,SF,12,25,anomaly
2026-04-03T08:52:00,0.0.0.0,0.0.0.0,tcp,0,0,S3,0,132,anomaly
2026-04-03T08:52:30,0.0.0.0,0.0.0.0,tcp,0,3,RSTO,0,15,anomaly
2026-04-03T08:53:00,0.0.0.0,0.0.0.0,tcp,0,0,REJ,0,17,anomaly
2026-04-03T08:53:30,0.0.0.0,0.0.0.0,udp,43,0,SF,43,255,anomaly
2026-04-03T08:54:00,0.0.0.0,0.0.0.0,tcp,301,0,SF,301,229,normal
2026-04-03T08:54:30,0.0.0.0,0.0.0.0,tcp,55044,909,RSTR,55044,255,anomaly
2026-04-03T08:55:00,0.0.0.0,0.0.0.0,tcp,0,0,RSTO,0,5,anomaly
2026-04-03T08:55:30,0.0.0.0,0.0.0.0,tcp,0,0,REJ,0,14,anomaly
2026-04-03T08:56:00,0.0.0.0,0.0.0.0,tcp,30,4,SF,30,213,anomaly
2026-04-03T08:56:30,0.0.0.0,0.0.0.0,tcp,32,5,SF,32,136,anomaly
2026-04-03T08:57:00,0.0.0.0,0.0.0.0,tcp,32,4,SF,32,164,anomaly
2026-04-03T08:57:30,0.0.0.0,0.0.0.0,tcp,0,7691,SF,0,161,anomaly
2026-04-03T08:58:00,0.0.0.0,0.0.0.0,tcp,72564,2069,RSTR,72564,237,anomaly
2026-04-03T08:58:30,0.0.0.0,0.0.0.0,tcp,0,0,S0,0,2,anomaly
2026-04-03T08:59:00,0.0.0.0,0.0.0.0,tcp,32,4,SF,32,237,anomaly
2026-04-03T08:59:30,0.0.0.0,0.0.0.0,tcp,0,0,S0,0,4,anomaly
2026-04-03T09:00:00,0.0.0.0,0.0.0.0,tcp,345,0,SF,345,255,normal
2026-04-03T09:00:30,0.0.0.0,0.0.0.0,tcp,26,0,SF,26,85,anomaly
2026-04-03T09:01:00,0.0.0.0,0.0.0.0,tcp,45260,0,RSTR,45260,254,anomaly
2026-04-03T09:01:30,0.0.0.0,0.0.0.0,tcp,120,0,SF,120,229,anomaly
2026-04-03T09:02:00,0.0.0.0,0.0.0.0,icmp,1032,0,SF,1032,255,anomaly
2026-04-03T09:02:30,0.0.0.0,0.0.0.0,tcp,122,0,SF,122,152,anomaly
2026-04-03T09:03:00,0.0.0.0,0.0.0.0,udp,44,0,SF,44,255,normal
