timestamp,src_ip,dst_ip,protocol,packet_size,duration,tcp_flags,byte_rate,connection_state,label
2026-04-03T08:00:00,0.0.0.0,0.0.0.0,tcp,491,0,SF,491,25,normal
2026-04-03T08:00:30,0.0.0.0,0.0.0.0,udp,146,0,SF,146,1,normal
2026-04-03T08:01:00,0.0.0.0,0.0.0.0,tcp,0,0,S0,0,26,anomaly
2026-04-03T08:01:30,0.0.0.0,0.0.0.0,tcp,232,0,SF,232,255,normal
2026-04-03T08:02:00,0.0.0.0,0.0.0.0,tcp,199,0,SF,199,255,normal
2026-04-03T08:02:30,0.0.0.0,0.0.0.0,tcp,0,0,REJ,0,19,anomaly
2026-04-03T08:03:00,0.0.0.0,0.0.0.0,tcp,0,0,S0,0,9,anomaly
2026-04-03T08:03:30,0.0.0.0,0.0.0.0,tcp,0,0,S0,0,15,anomaly
2026-04-03T08:04:00,0.0.0.0,0.0.0.0,tcp,0,0,S0,0,23,anomaly
2026-04-03T08:04:30,0.0.0.0,0.0.0.0,tcp,0,0,S0,0,13,anomaly
2026-04-03T08:05:00,0.0.0.0,0.0.0.0,tcp,0,0,REJ,0,12,anomaly
2026-04-03T08:05:30,0.0.0.0,0.0.0.0,tcp,0,0,S0,0,13,anomaly
2026-04-03T08:06:00,0.0.0.0,0.0.0.0,tcp,287,0,SF,287,219,normal
2026-04-03T08:06:30,0.0.0.0,0.0.0.0,tcp,334,0,SF,334,20,anomaly
2026-04-03T08:07:00,0.0.0.0,0.0.0.0,tcp,0,0,S0,0,1,anomaly
2026-04-03T08:07:30,0.0.0.0,0.0.0.0,tcp,0,0,S0,0,2,anomaly
2026-04-03T08:08:00,0.0.0.0,0.0.0.0,tcp,300,0,SF,300,255,normal
2026-04-03T08:08:30,0.0.0.0,0.0.0.0,icmp,18,0,SF,18,16,anomaly
2026-04-03T08:09:00,0.0.0.0,0.0.0.0,tcp,233,0,SF,233,255,normal
2026-04-03T08:09:30,0.0.0.0,0.0.0.0,tcp,343,0,SF,343,255,normal
2026-04-03T08:10:00,0.0.0.0,0.0.0.0,tcp,0,0,S0,0,23,anomaly
2026-04-03T08:10:30,0.0.0.0,0.0.0.0,tcp,0,0,S0,0,17,anomaly
2026-04-03T08:11:00,0.0.0.0,0.0.0.0,tcp,253,0,SF,253,255,normal
2026-04-03T08:11:30,0.0.0.0,0.0.0.0,udp,147,5607,SF,147,1,normal
2026-04-03T08:12:00,0.0.0.0,0.0.0.0,tcp,0,0,S0,0,2,anomaly
2026-04-03T08:12:30,0.0.0.0,0.0.0.0,tcp,437,507,SF,437,25,normal
2026-04-03T08:13:00,0.0.0.0,0.0.0.0,tcp,0,0,S0,0,13,anomaly
2026-04-03T08:13:30,0.0.0.0,0.0.0.0,tcp,227,0,SF,227,255,normal
2026-04-03T08:14:00,0.0.0.0,0.0.0.0,tcp,215,0,SF,215,255,normal
2026-04-03T08:14:30,0.0.0.0,0.0.0.0,tcp,241,0,SF,241,255,normal
2026-04-03T08:15:00,0.0.0.0,0.0.0.0,icmp,8,0,SF,8,53,anomaly
2026-04-03T08:15:30,0.0.0.0,0.0.0.0,tcp,0,0,S0,0,59,anomaly
2026-04-03T08:16:00,0.0.0.0,0.0.0.0,tcp,303,0,SF,303,255,normal
2026-04-03T08:16:30,0.0.0.0,0.0.0.0,tcp,0,0,REJ,0,1,anomaly
2026-04-03T08:17:00,0.0.0.0,0.0.0.0,udp,45,0,SF,45,250,normal
2026-04-03T08:17:30,0.0.0.0,0.0.0.0,udp,105,1,SF,105,5,normal
2026-04-03T08:18:00,0.0.0.0,0.0.0.0,udp,43,0,SF,43,255,normal
2026-04-03T08:18:30,0.0.0.0,0.0.0.0,tcp,0,0,S0,0,17,anomaly
2026-04-03T08:19:00,0.0.0.0,0.0.0.0,tcp,324,0,SF,324,255,normal
2026-04-03T08:19:30,0.0.0.0,0.0.0.0,tcp,0,0,S0,0,13,anomaly
2026-04-03T08:20:00,0.0.0.0,0.0.0.0,tcp,0,0,S0,0,63,anomaly
2026-04-03T08:20:30,0.0.0.0,0.0.0.0,tcp,0,0,S0,0,9,anomaly
