timestamp,src_ip,dst_ip,protocol,packet_size,duration,tcp_flags,byte_rate,connection_state
2026-04-03T09:00:00,27.163.107.156,192.168.35.14,icmp,424,0.15,,14381.8,unknown
2026-04-03T09:00:30,197.15.75.35,192.168.159.8,udp,507,0.29,8,8702.55,closed
2026-04-03T09:01:00,18.137.127.58,10.29.148.254,udp,599,0.3,R,6929.14,closed
2026-04-03T09:01:30,122.125.224.151,10.161.21.3,icmp,223,0.38,1,3284.07,reset
2026-04-03T09:02:00,230.21.230.76,192.168.245.78,icmp,97,0.27,R,12473.42,syn_sent
2026-04-03T09:02:30,129.146.229.149,192.168.146.203,udp,45,0.04,R,6439.03,unknown
2026-04-03T09:03:00,85.213.3.8,192.168.204.107,icmp,380,0.13,8,14474.3,syn_sent
2026-04-03T09:03:30,58.60.70.164,192.168.228.233,icmp,748,0.15,0,3254.02,unknown
2026-04-03T09:04:00,43.90.34.34,192.168.157.90,udp,761,0.21,,6014.18,closed
2026-04-03T09:04:30,231.99.157.243,172.31.98.208,udp,210,0.18,0,8723.39,closed
2026-04-03T09:05:00,142.94.211.162,10.95.128.218,udp,576,0.17,,4367.75,unknown
2026-04-03T09:05:30,7.232.103.189,192.168.19.102,udp,260,0.18,1,3701.24,closed
2026-04-03T09:06:00,157.141.70.206,10.185.118.146,udp,268,0.27,R,8989.38,reset
2026-04-03T09:06:30,118.91.41.166,192.168.140.111,icmp,412,0.01,R,8508.64,reset
2026-04-03T09:07:00,145.169.109.164,10.101.30.86,icmp,99,0.2,8,14103.1,reset
2026-04-03T09:07:30,199.251.198.5,172.29.36.3,icmp,223,0.33,,13970.11,reset
2026-04-03T09:08:00,193.242.169.137,10.77.116.124,udp,101,0.04,8,3127.0,syn_sent
2026-04-03T09:08:30,49.18.63.219,10.105.83.14,udp,191,0.03,0,5108.74,reset
2026-04-03T09:09:00,119.216.127.97,192.168.95.28,udp,240,0.01,R,14614.83,reset
2026-04-03T09:09:30,74.39.167.19,10.194.236.55,udp,195,0.36,0,12727.37,unknown
2026-04-03T09:10:00,113.145.65.127,192.168.221.36,udp,447,0.04,0,14067.07,reset
2026-04-03T09:10:30,164.101.193.222,192.168.215.137,udp,556,0.07,,12927.77,reset
2026-04-03T09:11:00,169.177.241.204,192.168.190.10,udp,190,0.35,,5580.63,unknown
2026-04-03T09:11:30,179.245.83.239,10.138.253.211,udp,808,0.08,0,5333.26,syn_sent
2026-04-03T09:12:00,138.7.14.80,172.22.148.201,udp,404,0.17,0,3621.35,unknown
2026-04-03T09:12:30,181.66.252.164,172.23.44.41,udp,689,0.18,R,14050.43,unknown
2026-04-03T09:13:00,115.79.24.153,192.168.218.44,udp,175,0.25,R,12991.14,closed
2026-04-03T09:13:30,165.128.234.241,10.32.187.191,icmp,593,0.14,,10995.8,unknown
2026-04-03T09:14:00,140.14.101.236,192.168.148.237,icmp,195,0.24,1,4729.36,reset
2026-04-03T09:14:30,91.120.100.115,192.168.107.43,udp,102,0.27,8,11720.22,syn_sent
2026-04-03T09:15:00,185.120.118.193,10.105.66.58,icmp,98,0.05,8,2923.28,unknown
2026-04-03T09:15:30,170.23.113.146,172.27.228.60,icmp,694,0.15,R,3640.68,reset
2026-04-03T09:16:00,23.216.116.247,192.168.78.196,icmp,82,0.21,R,7944.37,reset
2026-04-03T09:16:30,59.215.121.244,192.168.144.213,udp,79,0.16,R,3826.86,unknown
2026-04-03T09:17:00,185.127.151.187,10.229.112.225,icmp,720,0.05,R,5901.99,closed
2026-04-03T09:17:30,204.181.4.2,10.198.117.159,udp,729,0.09,,13774.17,reset
2026-04-03T09:18:00,224.74.67.222,10.0.156.55,udp,859,0.04,,12175.3,unknown
2026-04-03T09:18:30,152.70.183.247,192.168.224.208,udp,797,0.04,1,10758.53,closed
2026-04-03T09:19:00,211.252.152.226,172.16.209.79,udp,755,0.14,8,11846.9,syn_sent
2026-04-03T09:19:30,226.54.165.102,192.168.226.71,icmp,835,0.26,1,10426.01,closed
2026-04-03T09:20:00,172.199.140.230,192.168.185.249,icmp,718,0.14,0,13643.73,syn_sent
2026-04-03T09:20:30,95.157.246.144,192.168.90.49,udp,571,0.1,8,9433.42,syn_sent
2026-04-03T09:21:00,173.174.193.128,172.20.252.148,icmp,98,0.37,R,4229.06,reset
2026-04-03T09:21:30,158.224.58.66,10.243.219.81,icmp,375,0.03,1,11878.99,reset
2026-04-03T09:22:00,174.57.117.137,192.168.96.22,udp,582,0.31,0,8497.81,syn_sent
2026-04-03T09:22:30,80.187.134.120,192.168.143.241,icmp,232,0.3,R,7388.92,reset
2026-04-03T09:23:00,133.52.118.9,10.4.159.128,udp,576,0.03,1,6898.67,closed
2026-04-03T09:23:30,173.230.70.103,192.168.173.12,udp,653,0.06,0,2904.0,syn_sent
2026-04-03T09:24:00,38.78.65.189,10.24.231.191,udp,116,0.09,,9880.02,reset
2026-04-03T09:24:30,112.115.54.59,192.168.39.16,udp,82,0.33,,13195.26,unknown
2026-04-03T09:25:00,226.174.38.190,172.31.57.197,udp,459,0.36,,4634.48,unknown
2026-04-03T09:25:30,231.128.246.221,10.45.178.155,icmp,507,0.26,1,12583.99,closed
