timestamp,src_ip,dst_ip,protocol,packet_size,duration,tcp_flags,byte_rate,connection_state,label
2026-04-03T09:10:00,172.16.10.10,10.2.0.10,tcp,1320,0.93,18,1420.43,con,normal
2026-04-03T09:13:00,172.16.10.11,10.2.0.11,udp,210,0.10,0,2100.00,int,normal
2026-04-03T09:16:00,172.16.10.12,10.2.0.12,tcp,780,1.60,12,487.50,con,normal
2026-04-03T09:19:00,172.16.10.13,10.2.0.13,icmp,64,0.04,0,1600.00,int,normal
2026-04-03T09:22:00,172.16.10.14,10.2.0.14,http,960,0.74,2,1297.29,con,normal
2026-04-03T09:25:00,172.16.10.15,10.2.0.15,tcp,4096,0.18,25,22755.55,req,anomaly
2026-04-03T09:28:00,172.16.10.16,10.2.0.16,udp,96,6.80,0,14.11,req,anomaly
2026-04-03T09:31:00,172.16.10.17,10.2.0.17,ssh,2048,0.06,31,34133.33,rsp,anomaly
2026-04-03T09:34:00,172.16.10.18,10.2.0.18,ftp,1200,0.33,4,3636.36,fin,anomaly
2026-04-03T09:37:00,172.16.10.19,10.2.0.19,other,8888,11.20,29,792.14,unknown,anomaly
