timestamp,src_ip,dst_ip,protocol,packet_size,duration,tcp_flags,byte_rate,connection_state,label,threat_type
2026-04-03T08:00:00,172.26.196.163,172.26.196.163,icmp,787,0.17,F,4629.41,syn_sent,anomaly,spoofing
2026-04-03T08:01:00,10.178.206.104,118.64.246.44,udp,976,0.91,S,1072.53,time_wait,anomaly,spoofing
2026-04-03T08:02:00,10.34.22.19,51.27.73.51,udp,683,0.03,"S,P",22766.67,reset,anomaly,spoofing
2026-04-03T08:03:00,192.168.92.136,192.168.92.136,tcp,1053,1.06,,993.4,syn_sent,anomaly,spoofing
2026-04-03T08:04:00,207.134.125.139,10.180.131.68,udp,662,0.17,,10252.02,closed,anomaly,protocol_threat
2026-04-03T08:05:00,142.39.110.90,172.20.28.163,udp,1727,0.32,,4268.47,reset,anomaly,protocol_threat
2026-04-03T08:06:00,50.35.124.101,192.168.99.206,icmp,1323,0.65,,8825.38,syn_sent,anomaly,protocol_threat
2026-04-03T08:07:00,172.22.223.79,192.168.194.248,udp,654,2.83,18,231.1,reset,normal,normal
2026-04-03T08:08:00,10.121.197.209,192.168.193.51,udp,529,3.02,18,175.17,established,normal,normal
2026-04-03T08:09:00,192.168.52.175,172.31.151.5,tcp,2066,4.19,0,493.08,syn_sent,normal,normal
2026-04-03T08:10:00,192.168.225.119,207.104.173.79,udp,91,1.04,"S,P",87.5,syn_sent,anomaly,spoofing
2026-04-03T08:11:00,192.168.99.41,51.28.21.41,icmp,868,0.87,S,997.7,syn_sent,anomaly,spoofing
2026-04-03T08:12:00,192.168.236.122,192.168.236.122,icmp,318,0.55,F,578.18,syn_sent,anomaly,spoofing
2026-04-03T08:13:00,192.168.142.134,235.74.40.177,tcp,888,0.46,"S,P",1930.43,syn_sent,anomaly,spoofing
2026-04-03T08:14:00,197.171.83.4,172.17.191.206,icmp,3896,0.16,8,11658.46,reset,anomaly,protocol_threat
2026-04-03T08:15:00,49.19.109.49,10.45.80.107,icmp,186,0.38,,7240.06,syn_sent,anomaly,protocol_threat
2026-04-03T08:16:00,27.183.237.163,172.31.187.212,tcp,4864,0.3,1,2586.66,closed,anomaly,protocol_threat
2026-04-03T08:17:00,192.168.204.1,192.168.164.153,icmp,1899,2.55,16,744.71,established,normal,normal
2026-04-03T08:18:00,10.235.185.191,10.209.83.35,udp,948,0.78,2,1215.38,closed,normal,normal
2026-04-03T08:19:00,10.137.43.173,10.104.74.181,udp,570,1.43,0,398.6,reset,normal,normal
2026-04-03T08:20:00,172.28.46.52,183.56.242.180,icmp,156,1.09,S,143.12,syn_sent,anomaly,spoofing
2026-04-03T08:21:00,172.26.148.235,172.26.148.235,icmp,1148,1.14,"S,A",1007.02,time_wait,anomaly,spoofing
2026-04-03T08:22:00,172.26.25.240,227.128.165.204,icmp,743,0.26,F,2857.69,time_wait,anomaly,spoofing
2026-04-03T08:23:00,192.168.158.54,126.174.157.159,udp,1192,0.68,18,1752.94,reset,anomaly,spoofing
2026-04-03T08:24:00,97.192.100.46,192.168.138.183,udp,888,0.09,1,2872.91,unknown,anomaly,protocol_threat
2026-04-03T08:25:00,34.131.32.168,172.27.222.142,udp,3174,0.65,,6891.55,closed,anomaly,protocol_threat
2026-04-03T08:26:00,27.16.240.147,192.168.28.233,udp,4806,0.86,,1779.45,syn_sent,anomaly,protocol_threat
2026-04-03T08:27:00,172.25.155.241,10.202.173.183,udp,1798,1.83,24,982.51,reset,normal,normal
2026-04-03T08:28:00,172.21.206.69,172.24.160.113,icmp,975,2.39,24,407.95,established,normal,normal
2026-04-03T08:29:00,172.16.118.130,192.168.236.104,icmp,210,3.77,24,55.7,reset,normal,normal
2026-04-03T08:30:00,172.24.152.148,172.24.152.148,udp,1146,0.7,F,1637.14,reset,anomaly,spoofing
2026-04-03T08:31:00,192.168.54.217,240.63.59.95,udp,387,0.95,S,407.37,closed,anomaly,spoofing
2026-04-03T08:32:00,192.168.57.55,180.231.59.50,icmp,932,0.88,F,1059.09,syn_sent,anomaly,spoofing
2026-04-03T08:33:00,192.168.250.134,192.168.250.134,icmp,705,1.25,18,564.0,closed,anomaly,spoofing
2026-04-03T08:34:00,138.138.244.251,172.30.131.241,udp,351,0.03,1,11948.46,syn_sent,anomaly,protocol_threat
2026-04-03T08:35:00,189.71.22.225,192.168.71.93,udp,643,0.15,0,11626.91,unknown,anomaly,protocol_threat
2026-04-03T08:36:00,65.110.7.111,192.168.194.31,tcp,4322,0.23,1,4817.94,syn_sent,anomaly,protocol_threat
2026-04-03T08:37:00,172.29.143.113,192.168.39.69,icmp,645,3.42,18,188.6,syn_sent,normal,normal
2026-04-03T08:38:00,172.21.171.62,172.23.171.238,tcp,586,3.36,18,174.4,syn_recv,normal,normal
2026-04-03T08:39:00,10.104.73.174,10.131.151.174,udp,277,2.85,0,97.19,reset,normal,normal
2026-04-03T08:40:00,10.107.255.49,6.241.148.137,udp,422,0.87,"S,P",485.06,syn_sent,anomaly,spoofing
2026-04-03T08:41:00,172.25.203.215,124.108.82.206,udp,493,1.12,,440.18,closed,anomaly,spoofing
2026-04-03T08:42:00,172.26.208.202,172.26.208.202,icmp,583,0.16,"S,P",3643.75,time_wait,anomaly,spoofing
2026-04-03T08:43:00,192.168.55.224,168.25.22.233,tcp,474,0.72,F,658.33,reset,anomaly,spoofing
2026-04-03T08:44:00,221.84.63.83,10.146.44.82,udp,2925,0.18,0,6923.92,syn_sent,anomaly,protocol_threat
2026-04-03T08:45:00,131.230.104.211,172.24.6.60,udp,726,0.83,8,4080.78,unknown,anomaly,protocol_threat
2026-04-03T08:46:00,179.86.60.141,10.164.100.20,icmp,5408,0.85,1,11900.38,syn_sent,anomaly,protocol_threat
