timestamp,src_ip,dst_ip,protocol,packet_size,duration,tcp_flags,byte_rate,connection_state,label
2026-04-03T08:00:00,0.0.0.0,0.0.0.0,tcp,0,0,REJ,0,10,anomaly
2026-04-03T08:00:30,0.0.0.0,0.0.0.0,tcp,0,0,REJ,0,1,anomaly
2026-04-03T08:01:00,0.0.0.0,0.0.0.0,tcp,12983,2,SF,12983,86,normal
2026-04-03T08:01:30,0.0.0.0,0.0.0.0,icmp,20,0,SF,20,57,anomaly
2026-04-03T08:02:00,0.0.0.0,0.0.0.0,tcp,0,1,RSTO,0,86,anomaly
2026-04-03T08:02:30,0.0.0.0,0.0.0.0,tcp,267,0,SF,267,255,normal
2026-04-03T08:03:00,0.0.0.0,0.0.0.0,tcp,1022,0,SF,1022,28,normal
2026-04-03T08:03:30,0.0.0.0,0.0.0.0,tcp,129,0,SF,129,255,anomaly
2026-04-03T08:04:00,0.0.0.0,0.0.0.0,tcp,327,0,SF,327,255,normal
2026-04-03T08:04:30,0.0.0.0,0.0.0.0,tcp,26,0,SF,26,26,anomaly
2026-04-03T08:05:00,0.0.0.0,0.0.0.0,tcp,0,0,SF,0,128,anomaly
2026-04-03T08:05:30,0.0.0.0,0.0.0.0,tcp,616,0,SF,616,129,normal
2026-04-03T08:06:00,0.0.0.0,0.0.0.0,tcp,0,0,REJ,0,2,anomaly
2026-04-03T08:06:30,0.0.0.0,0.0.0.0,tcp,0,0,S0,0,171,anomaly
2026-04-03T08:07:00,0.0.0.0,0.0.0.0,tcp,773,37,SF,773,73,normal
2026-04-03T08:07:30,0.0.0.0,0.0.0.0,tcp,350,0,SF,350,255,normal
2026-04-03T08:08:00,0.0.0.0,0.0.0.0,tcp,213,0,SF,213,255,normal
2026-04-03T08:08:30,0.0.0.0,0.0.0.0,tcp,246,0,SF,246,255,normal
2026-04-03T08:09:00,0.0.0.0,0.0.0.0,udp,45,0,SF,45,255,normal
2026-04-03T08:09:30,0.0.0.0,0.0.0.0,tcp,0,0,REJ,0,18,anomaly
