timestamp,src_ip,dst_ip,protocol,packet_size,duration,tcp_flags,byte_rate,connection_state,label
2026-04-03T08:00:00,192.168.10.15,10.1.0.10,tcp,1180,0.64,16,1843.75,established,normal
2026-04-03T08:03:00,192.168.10.18,10.1.0.11,udp,240,0.11,0,2181.81,closed,normal
2026-04-03T08:06:00,192.168.10.21,10.1.0.12,tcp,900,1.42,18,633.80,syn_recv,normal
2026-04-03T08:09:00,192.168.10.24,10.1.0.13,icmp,72,0.05,0,1440.00,closed,normal
2026-04-03T08:12:00,192.168.10.27,10.1.0.14,http,1540,0.88,2,1750.00,established,normal
2026-04-03T08:15:00,192.168.10.30,10.1.0.15,tcp,2048,0.22,31,9310.00,syn_sent,anomaly
2026-04-03T08:18:00,192.168.10.33,10.1.0.16,https,8192,0.03,63,273066.67,established,anomaly
2026-04-03T08:21:00,192.168.10.36,10.1.0.17,udp,96,7.60,0,12.63,close_wait,anomaly
2026-04-03T08:24:00,192.168.10.39,10.1.0.18,ssh,1500,0.27,4,5555.55,syn_sent,anomaly
2026-04-03T08:27:00,192.168.10.42,10.1.0.19,other,9999,9.40,29,1063.72,unknown,anomaly
