timestamp,src_ip,dst_ip,protocol,packet_size,duration,tcp_flags,byte_rate,connection_state
2026-04-04T08:00:00,192.168.100.59,172.22.97.123,tcp,1287,0.56,0,2298.21,established
2026-04-04T08:00:20,29.106.248.35,192.168.118.144,udp,801,0.33,1,16141.93,syn_sent
2026-04-04T08:00:40,12.100.52.76,192.168.201.144,icmp,881,0.26,0,15972.63,reset
2026-04-04T08:01:00,114.144.173.137,192.168.103.156,udp,3513,0.6,S,3387.15,established
2026-04-04T08:01:20,215.228.6.219,10.68.222.6,icmp,945,0.27,1,5019.04,syn_sent
2026-04-04T08:01:40,172.28.187.8,61.129.140.139,tcp,806,0.08,,10075.0,fin_wait
2026-04-04T08:02:00,192.168.229.39,192.168.229.39,tcp,1429,0.75,"S,A",1905.33,closed
2026-04-04T08:02:20,192.168.111.219,81.17.158.30,tcp,1480,1.09,S,1357.8,closed
2026-04-04T08:02:40,31.121.78.214,192.168.20.208,icmp,480,0.44,8,5323.23,reset
2026-04-04T08:03:00,155.210.207.149,10.15.223.56,icmp,560,0.38,8,15272.19,unknown
2026-04-04T08:03:20,231.102.197.242,172.24.16.143,udp,175,0.06,,8629.42,syn_sent
2026-04-04T08:03:40,90.108.221.189,172.25.118.40,udp,5925,0.75,S,5761.32,unknown
2026-04-04T08:04:00,22.5.144.230,10.94.214.92,icmp,949,0.02,8,11677.29,closed
2026-04-04T08:04:20,192.168.223.28,67.250.121.180,icmp,268,0.68,S,394.12,syn_recv
2026-04-04T08:04:40,170.243.89.166,172.26.207.122,udp,182,0.24,1,10897.35,reset
2026-04-04T08:05:00,10.110.105.208,10.110.105.208,tcp,1785,2.03,16,879.31,reset
2026-04-04T08:05:20,10.235.44.56,164.214.83.235,udp,401,0.13,"S,A",3084.62,closed
2026-04-04T08:05:40,68.246.161.254,192.168.5.224,icmp,442,0.31,0,7524.93,closed
2026-04-04T08:06:00,160.154.97.200,172.24.201.169,icmp,142,0.01,,6841.61,closed
2026-04-04T08:06:20,35.199.201.30,172.29.58.67,icmp,237,0.47,,10302.29,closed
2026-04-04T08:06:40,172.24.50.243,243.34.14.233,tcp,304,0.77,S,394.81,closed
2026-04-04T08:07:00,10.139.194.19,10.139.194.19,icmp,122,1.84,"S,A",66.3,syn_sent
2026-04-04T08:07:20,119.194.57.159,172.18.89.9,icmp,6100,0.54,P,3308.82,syn_sent
2026-04-04T08:07:40,172.19.124.173,222.169.129.41,udp,1059,0.49,2,2161.22,fin_wait
2026-04-04T08:08:00,229.174.117.113,172.27.89.219,icmp,198,0.48,,11198.24,closed
2026-04-04T08:08:20,196.5.96.14,10.7.48.122,udp,536,0.0,,15176.91,closed
2026-04-04T08:08:40,107.43.216.112,172.29.117.41,icmp,709,0.17,1,16917.12,syn_sent
2026-04-04T08:09:00,172.16.115.100,172.16.115.100,udp,470,1.87,16,251.34,reset
2026-04-04T08:09:20,192.168.86.31,192.168.86.31,tcp,1398,0.65,"S,A",2150.77,closed
2026-04-04T08:09:40,151.237.54.162,172.18.10.176,udp,79,0.22,8,5139.23,syn_sent
2026-04-04T08:10:00,57.224.249.213,172.20.218.128,udp,414,0.33,R,9718.67,unknown
2026-04-04T08:10:20,172.23.187.199,10.166.106.104,udp,187,2.28,24,82.02,established
2026-04-04T08:10:40,239.72.56.214,10.149.126.137,udp,357,0.38,8,6347.33,reset
2026-04-04T08:11:00,57.231.227.103,172.24.237.193,udp,864,0.49,0,8069.41,reset
2026-04-04T08:11:20,108.150.249.249,172.30.90.207,icmp,727,0.17,R,7007.81,reset
2026-04-04T08:11:40,82.80.48.148,172.16.113.2,icmp,932,0.29,R,12851.51,unknown
2026-04-04T08:12:00,172.25.220.40,68.82.222.111,tcp,1609,1.27,F,1266.93,closed
2026-04-04T08:12:20,254.47.217.39,172.25.14.5,icmp,271,0.21,1,14369.86,closed
2026-04-04T08:12:40,224.135.208.55,192.168.175.130,udp,480,0.3,0,12056.68,syn_sent
